System,Średni czas pacjenta (min),Std czas pacjenta,Nadgodziny (min),Std nadgodziny,Czas bezczynności (min),Std czas bezczynności,Liczba symulacji,Liczba gabinetów,Liczba pacjentów
Z terminem,22.280,1.267,2.470,4.937,223.540,51.364,100,5,150
Bez terminu,43.238,7.284,11.400,12.410,259.800,52.740,100,5,150
