Run,System,Średni_czas_pacjenta,Nadgodziny,Czas_bezczynności
35,Bez terminu,33.067,17.000,302.000
36,Bez terminu,36.707,20.000,202.000
37,Bez terminu,37.253,-3.000,269.000
38,Bez terminu,36.887,-1.000,241.000
39,Bez terminu,30.340,19.000,255.000
40,Bez terminu,43.120,3.000,282.000
41,Bez terminu,40.853,23.000,198.000
42,Bez terminu,42.507,-1.000,252.000
43,Bez terminu,32.313,-5.000,239.000
44,Bez terminu,33.660,10.000,222.000
45,Bez terminu,51.153,12.000,246.000
46,Bez terminu,34.220,18.000,323.000
47,Bez terminu,32.933,27.000,296.000
48,Bez terminu,51.420,-8.000,290.000
49,Bez terminu,32.940,10.000,251.000
50,Bez terminu,32.507,28.000,214.000
51,Bez terminu,38.467,-37.000,304.000
52,Bez terminu,48.873,13.000,238.000
53,Bez terminu,45.080,-8.000,223.000
54,Bez terminu,30.960,12.000,346.000
55,Bez terminu,38.620,17.000,303.000
56,Bez terminu,41.347,3.000,261.000
57,Bez terminu,43.193,16.000,273.000
58,Bez terminu,33.513,19.000,213.000
59,Bez terminu,32.120,14.000,233.000
60,Bez terminu,41.960,46.000,411.000
61,Bez terminu,38.480,41.000,434.000
62,Bez terminu,45.767,34.000,298.000
63,Bez terminu,32.853,6.000,223.000
64,Bez terminu,31.813,35.000,332.000
65,Bez terminu,45.953,13.000,202.000
66,Bez terminu,41.520,18.000,346.000
67,Bez terminu,32.973,3.000,215.000
68,Bez terminu,35.367,-6.000,229.000
69,Bez terminu,40.287,11.000,241.000
70,Bez terminu,32.147,18.000,313.000
71,Bez terminu,46.400,15.000,213.000
72,Bez terminu,38.753,0.000,277.000
73,Bez terminu,53.973,8.000,162.000
74,Bez terminu,34.967,7.000,342.000
75,Bez terminu,49.113,2.000,215.000
76,Bez terminu,47.693,18.000,189.000
77,Bez terminu,60.073,14.000,230.000
78,Bez terminu,41.067,16.000,235.000
79,Bez terminu,38.460,15.000,249.000
80,Bez terminu,34.453,-13.000,206.000
81,Bez terminu,50.187,16.000,157.000
82,Bez terminu,36.387,30.000,198.000
83,Bez terminu,68.627,-1.000,213.000
84,Bez terminu,36.520,15.000,205.000
85,Bez terminu,39.753,-2.000,249.000
86,Bez terminu,50.767,15.000,336.000
87,Bez terminu,26.247,17.000,309.000
88,Bez terminu,48.560,7.000,206.000
89,Bez terminu,41.600,14.000,167.000
90,Bez terminu,44.160,48.000,368.000
91,Bez terminu,36.307,5.000,152.000
92,Bez terminu,51.513,9.000,122.000
93,Bez terminu,43.287,17.000,220.000
94,Bez terminu,41.840,20.000,341.000
95,Bez terminu,52.387,22.000,220.000
96,Bez terminu,35.160,3.000,211.000
97,Bez terminu,35.707,18.000,293.000
98,Bez terminu,49.207,4.000,194.000
99,Bez terminu,40.713,10.000,181.000
